Day(d),Temperature(℃),pH,C/N,Ammonia(mg·kg−1),Nitrate(mg·kg−1),TN(wt.%),OM(wt.%),AR(L·min−1·kg−1),Additives,Cumulative NH3(g·kg−1),Daily NH3(g·kg−1)
22,31.41970803,8.422845691,16.29267579,1387.5,544.4151838,1.304191617,36.63288151,0.141242938,1,1.658030792,0.029278203
29,25.39416058,8.150300601,11.71525282,2062.5,661.086373,1.734530938,35.03248762,0.141242938,1,1.752846395,0.006724965
0,30.66058394,8.22244489,12.12919989,2112.5,437.1822627,2.01996008,42.23886128,0.22675737,1,0,0
2,41.05109489,8.078156313,14.65780441,862.5,369.8985857,1.69500998,42.83299508,0.22675737,1,0.000358364,0.000358364
3,46.55474453,8.478957916,12.80185648,3012.5,591.2797337,1.897005988,41.86768205,0.22675737,1,0.001507929,0.001149565
6,51.01459854,8.687374749,17.13305373,4737.5,302.7906023,1.413972056,41.76503648,0.22675737,1,0.285759043,0.155673845
8,45.60583942,8.76753507,17.72798491,3675,400.1214239,1.273453094,38.92060546,0.22675737,1,0.655876429,0.114676866
10,41.62043796,8.543086172,15.30416104,3312.5,783.5132893,1.444710579,38.1177837,0.22675737,1,0.785179017,0.050027783
13,41.09854015,8.599198397,17.15628116,2675,351.9989068,1.35249501,40.00332476,0.22675737,1,0.897421624,0.036624924
16,34.6459854,8.591182365,17.81981429,2575,584.3503724,1.269061876,38.98730655,0.113378685,1,1.004143742,0.029031751
19,33.50729927,8.294589178,15.24078585,3387.5,498.2639506,1.510578842,39.69063251,0.113378685,1,1.074595013,0.020856855
22,32.17883212,8.254509018,13.90689271,2775,503.9353447,1.646706587,39.48058583,0.113378685,1,1.100680612,0.01297282
29,26.15328467,7.933867735,12.68257352,1700,580.1302086,1.813572854,39.65332931,0.113378685,1,1.153440599,0.005088786
0,17.99136069,5.872946993,21.06313716,352.6285452,189.9109792,2.06142132,74.85608,0.502008032,0,0,0
3,51.57667387,8.664638835,19.65306676,4142.34493,430.2670623,1.988324873,67.36819886,0.502008032,0,0.02236892,0.008880124
6,54.38444924,9.174512497,20.54276376,5226.178962,504.4510386,1.828426396,64.75504592,0.502008032,0,0.795838976,0.348572975
10,53.62850972,9.039206262,20.37448905,4727.942398,510.3857567,1.808629442,63.52922888,0.502008032,0,2.212162578,0.372178369
14,52.98056156,8.894795386,18.99741945,3667.575251,551.9287834,1.820812183,59.63442331,0.502008032,0,3.614997383,0.336770279
19,40.56155508,8.79614117,18.48900375,3548.052405,703.264095,1.84213198,58.71803506,0.502008032,0,4.908460533,0.200870657
24,31.27429806,8.770200494,17.99858352,3088.640738,1053.412463,1.87106599,58.05835062,0.502008032,0,5.678783203,0.115666427
29,20.25917927,8.571505081,17.71644002,2838.398937,1376.854599,1.889340102,57.70638412,0.502008032,0,5.947210247,0.025628713
34,19.39524838,8.445550673,17.19380822,2744.961263,1554.896142,1.910659898,56.63602026,0.502008032,0,6.083447089,0.025179086
0,20.36717063,6.60021972,21.1182793,352.6090057,192.8783383,1.988324873,72.39076,0.488758553,1,0,0
3,50.28077754,8.237366108,18.91934715,4181.560616,468.84273,1.927411168,62.86628234,0.488758553,1,0.022544618,0.009411831
6,55.03239741,8.99272178,17.70339268,4677.159354,534.1246291,1.939593909,59.19766484,0.488758553,1,0.656639346,0.316390725
10,54.27645788,8.721038176,16.34838654,4858.641812,593.4718101,1.991370558,56.12601929,0.488758553,1,1.680996726,0.242847118
14,54.06047516,8.449354573,14.92634748,3549.928193,563.7982196,2.00964467,51.71423262,0.488758553,1,2.534627876,0.187689413
19,43.15334773,7.977945619,14.55032817,3221.255019,759.6439169,2.040101523,51.17546882,0.488758553,1,3.013204448,0.058327391
24,33.32613391,7.815641307,14.30070973,2774.934787,1032.64095,2.059898477,50.78560959,0.488758553,1,3.125603287,0.020684139
29,25.22678186,7.771491349,13.9566189,2550.797698,1332.344214,2.09035533,50.29648064,0.488758553,1,3.191267222,0.007660792
34,20.79913607,7.709187037,13.8466911,2300.555897,1724.035608,2.101015228,50.15479569,0.488758553,1,3.24379837,0.006894713
